id bigserial;origen_libro_id;origen_capitulo;origen_versiculo;destino_libro_id;destino_capitulo;destino_versiculo;llave_unica text
;41;10;33;42;18;33;41_10_33_42_18_33
;41;10;33;42;23;1;41_10_33_42_23_1
;41;10;33;42;23;2;41_10_33_42_23_2
;41;10;33;42;23;21;41_10_33_42_23_21
;41;10;33;42;24;6;41_10_33_42_24_6
;41;10;33;42;24;7;41_10_33_42_24_7
;41;10;33;42;9;22;41_10_33_42_9_22
;41;10;33;43;18;28;41_10_33_43_18_28
;41;10;33;43;19;11;41_10_33_43_19_11
;41;10;33;44;13;27;41_10_33_44_13_27
;41;10;33;44;20;22;41_10_33_44_20_22
;41;10;33;44;3;13;41_10_33_44_3_13
;41;10;33;44;3;14;41_10_33_44_3_14
;41;10;33;59;5;6;41_10_33_59_5_6
;41;10;34;18;30;10;41_10_34_18_30_10
;41;10;34;19;16;10;41_10_34_19_16_10
;41;10;34;19;22;13;41_10_34_19_22_13
;41;10;34;19;22;6;41_10_34_19_22_6
;41;10;34;19;22;8;41_10_34_19_22_8
;41;10;34;23;50;6;41_10_34_23_50_6
;41;10;34;23;53;3;41_10_34_23_53_3
;41;10;34;28;6;2;41_10_34_28_6_2
;41;10;34;40;12;39;41_10_34_40_12_39
;41;10;34;40;12;40;41_10_34_40_12_40
;41;10;34;40;16;21;41_10_34_40_16_21
;41;10;34;40;26;67;41_10_34_40_26_67
;41;10;34;40;27;27;41_10_34_40_27_27
;41;10;34;40;27;44;41_10_34_40_27_44
;41;10;34;41;14;63;41_10_34_41_14_63
;41;10;34;41;14;65;41_10_34_41_14_65
;41;10;34;41;15;17;41_10_34_41_15_17
;41;10;34;41;15;20;41_10_34_41_15_20
;41;10;34;41;15;29;41_10_34_41_15_29
;41;10;34;41;15;31;41_10_34_41_15_31
;41;10;34;42;22;63;41_10_34_42_22_63
;41;10;34;42;22;65;41_10_34_42_22_65
;41;10;34;42;23;11;41_10_34_42_23_11
;41;10;34;42;23;35;41_10_34_42_23_35
;41;10;34;42;23;39;41_10_34_42_23_39
;41;10;34;43;1;17;41_10_34_43_1_17
;41;10;34;43;19;2;41_10_34_43_19_2
;41;10;34;43;19;3;41_10_34_43_19_3
;41;10;34;43;2;10;41_10_34_43_2_10
;41;10;34;46;15;4;41_10_34_46_15_4
;41;10;35;10;14;11;41_10_35_10_14_11
;41;10;35;10;14;4;41_10_35_10_14_4
;41;10;35;11;2;16;41_10_35_11_2_16
;41;10;35;11;2;20;41_10_35_11_2_20
;41;10;35;40;20;20;41_10_35_40_20_20
;41;10;35;40;20;28;41_10_35_40_20_28
;41;10;35;41;1;19;41_10_35_41_1_19
;41;10;35;41;1;20;41_10_35_41_1_20
;41;10;35;41;14;33;41_10_35_41_14_33
;41;10;35;41;5;37;41_10_35_41_5_37
;41;10;35;41;9;2;41_10_35_41_9_2
;41;10;36;11;3;15;41_10_36_11_3_15
;41;10;36;11;3;5;41_10_36_11_3_5
;41;10;36;41;10;51;41_10_36_41_10_51
;41;10;36;43;15;7;41_10_36_43_15_7
;41;10;37;11;22;19;41_10_37_11_22_19
;41;10;37;19;110;1;41_10_37_19_110_1
;41;10;37;19;45;9;41_10_37_19_45_9
;41;10;37;40;19;28;41_10_37_40_19_28
;41;10;37;40;25;31;41_10_37_40_25_31
;41;10;37;41;16;19;41_10_37_41_16_19
;41;10;37;41;8;38;41_10_37_41_8_38
;41;10;37;42;24;26;41_10_37_42_24_26
;41;10;37;60;1;11;41_10_37_60_1_11
;41;10;38;11;2;22;41_10_38_11_2_22
;41;10;38;19;75;8;41_10_38_19_75_8
;41;10;38;23;51;22;41_10_38_23_51_22
;41;10;38;24;25;15;41_10_38_24_25_15
;41;10;38;24;45;5;41_10_38_24_45_5
;41;10;38;40;20;21;41_10_38_40_20_21
;41;10;38;40;20;22;41_10_38_40_20_22
;41;10;38;40;26;39;41_10_38_40_26_39
;41;10;38;41;14;36;41_10_38_41_14_36
;41;10;38;42;12;50;41_10_38_42_12_50
;41;10;38;42;22;42;41_10_38_42_22_42
;41;10;38;43;18;11;41_10_38_43_18_11
;41;10;38;45;8;26;41_10_38_45_8_26
;41;10;38;59;4;3;41_10_38_59_4_3
;41;10;39;40;10;25;41_10_39_40_10_25
;41;10;39;41;14;31;41_10_39_41_14_31
;41;10;39;41;14;36;41_10_39_41_14_36
;41;10;39;43;13;37;41_10_39_43_13_37
;41;10;39;43;15;20;41_10_39_43_15_20
;41;10;39;43;17;14;41_10_39_43_17_14
;41;10;39;44;12;2;41_10_39_44_12_2
;41;10;39;51;1;24;41_10_39_51_1_24
;41;10;39;66;1;9;41_10_39_66_1_9
;41;10;4;23;50;1;41_10_4_23_50_1
;41;10;4;24;3;1;41_10_4_24_3_1
;41;10;4;40;1;19;41_10_4_40_1_19
;41;10;4;40;19;7;41_10_4_40_19_7
;41;10;4;40;5;31;41_10_4_40_5_31
;41;10;4;40;5;32;41_10_4_40_5_32
;41;10;4;5;24;1;41_10_4_5_24_1
;41;10;4;5;24;4;41_10_4_5_24_4
;41;10;40;40;20;23;41_10_40_40_20_23
;41;10;40;40;25;34;41_10_40_40_25_34
;41;10;40;43;17;2;41_10_40_43_17_2
;41;10;40;43;17;24;41_10_40_43_17_24
;41;10;40;58;11;16;41_10_40_58_11_16
;41;10;41;20;13;10;41_10_41_20_13_10
;41;10;41;40;20;24;41_10_41_40_20_24
;41;10;41;41;9;33;41_10_41_41_9_33
;41;10;41;41;9;36;41_10_41_41_9_36
;41;10;41;42;22;24;41_10_41_42_22_24
;41;10;41;45;12;10;41_10_41_45_12_10
;41;10;41;50;2;3;41_10_41_50_2_3
;41;10;41;59;4;5;41_10_41_59_4_5
;41;10;42;40;20;25;41_10_42_40_20_25
;41;10;42;42;22;25;41_10_42_42_22_25
;41;10;42;60;5;3;41_10_42_60_5_3
;41;10;43;40;20;26;41_10_43_40_20_26
;41;10;43;40;20;27;41_10_43_40_20_27
;41;10;43;40;23;12;41_10_43_40_23_12
;41;10;43;40;23;8;41_10_43_40_23_8
;41;10;43;41;9;35;41_10_43_41_9_35
;41;10;43;42;14;11;41_10_43_42_14_11
;41;10;43;42;18;14;41_10_43_42_18_14
;41;10;43;42;9;48;41_10_43_42_9_48
;41;10;43;43;13;13;41_10_43_43_13_13
;41;10;43;43;13;18;41_10_43_43_13_18
;41;10;43;43;18;36;41_10_43_43_18_36
;41;10;43;45;12;2;41_10_43_45_12_2
;41;10;43;46;9;19;41_10_43_46_9_19
;41;10;43;46;9;23;41_10_43_46_9_23
;41;10;43;48;5;13;41_10_43_48_5_13
;41;10;43;60;5;5;41_10_43_60_5_5
;41;10;43;60;5;6;41_10_43_60_5_6
;41;10;45;23;53;10;41_10_45_23_53_10
;41;10;45;23;53;12;41_10_45_23_53_12
;41;10;45;27;9;24;41_10_45_27_9_24
;41;10;45;27;9;26;41_10_45_27_9_26
;41;10;45;40;20;28;41_10_45_40_20_28
;41;10;45;42;22;26;41_10_45_42_22_26
;41;10;45;42;22;27;41_10_45_42_22_27
;41;10;45;43;10;15;41_10_45_43_10_15
;41;10;45;43;13;14;41_10_45_43_13_14
;41;10;45;47;5;21;41_10_45_47_5_21
;41;10;45;47;8;9;41_10_45_47_8_9
;41;10;45;48;3;13;41_10_45_48_3_13
;41;10;45;50;2;5;41_10_45_50_2_5
;41;10;45;50;2;8;41_10_45_50_2_8
;41;10;45;54;3;4;41_10_45_54_3_4
;41;10;45;54;3;6;41_10_45_54_3_6
;41;10;45;56;2;14;41_10_45_56_2_14
;41;10;45;58;5;8;41_10_45_58_5_8
;41;10;45;60;1;19;41_10_45_60_1_19
;41;10;46;40;20;29;41_10_46_40_20_29
;41;10;46;40;20;34;41_10_46_40_20_34
;41;10;46;42;16;20;41_10_46_42_16_20
;41;10;46;42;16;22;41_10_46_42_16_22
;41;10;46;42;18;35;41_10_46_42_18_35
;41;10;46;42;19;1;41_10_46_42_19_1
;41;10;46;43;9;8;41_10_46_43_9_8
;41;10;46;44;3;2;41_10_46_44_3_2
;41;10;46;44;3;3;41_10_46_44_3_3
;41;10;47;23;11;1;41_10_47_23_11_1
;41;10;47;23;9;6;41_10_47_23_9_6
;41;10;47;23;9;7;41_10_47_23_9_7
;41;10;47;24;23;5;41_10_47_24_23_5
;41;10;47;24;23;6;41_10_47_24_23_6
;41;10;47;40;1;1;41_10_47_40_1_1
;41;10;47;40;12;23;41_10_47_40_12_23
;41;10;47;40;15;22;41_10_47_40_15_22
;41;10;47;40;20;30;41_10_47_40_20_30
;41;10;47;40;21;11;41_10_47_40_21_11
;41;10;47;40;21;9;41_10_47_40_21_9
;41;10;47;40;2;23;41_10_47_40_2_23
;41;10;47;40;22;42;41_10_47_40_22_42
;41;10;47;40;22;45;41_10_47_40_22_45
;41;10;47;40;26;71;41_10_47_40_26_71
;41;10;47;40;9;27;41_10_47_40_9_27
;41;10;47;41;1;24;41_10_47_41_1_24
;41;10;47;42;18;36;41_10_47_42_18_36
;41;10;47;42;18;37;41_10_47_42_18_37
;41;10;47;42;4;16;41_10_47_42_4_16
;41;10;47;43;1;46;41_10_47_43_1_46
;41;10;47;43;19;19;41_10_47_43_19_19
;41;10;47;43;7;41;41_10_47_43_7_41
;41;10;47;43;7;52;41_10_47_43_7_52
;41;10;47;44;13;22;41_10_47_44_13_22
;41;10;47;44;13;23;41_10_47_44_13_23
;41;10;47;44;6;14;41_10_47_44_6_14
;41;10;47;45;1;3;41_10_47_45_1_3
;41;10;47;45;1;4;41_10_47_45_1_4
;41;10;47;66;22;16;41_10_47_66_22_16
;41;10;48;1;32;24;41_10_48_1_32_24
;41;10;48;1;32;28;41_10_48_1_32_28
;41;10;48;19;62;12;41_10_48_19_62_12
